student,question,human_score_0_10,semantic_similarity,predicted_score_0_10,absolute_error,signed_error
student_1,Q1,8.5,0.8292407393455505,8.292407393455505,0.20759260654449463,-0.20759260654449463
student_1,Q2,8.0,0.8773356676101685,8.773356676101685,0.7733566761016846,0.7733566761016846
student_1,Q3,8.5,0.9589295983314514,9.589295983314514,1.0892959833145142,1.0892959833145142
student_1,Q4,9.5,0.9093860387802124,9.093860387802124,0.406139612197876,-0.406139612197876
student_2,Q1,8.5,0.87020343542099,8.7020343542099,0.2020343542098999,0.2020343542098999
student_2,Q2,8.5,0.8606711626052856,8.606711626052856,0.10671162605285645,0.10671162605285645
student_2,Q3,9.0,0.9219636917114258,9.219636917114258,0.2196369171142578,0.2196369171142578
student_2,Q4,9.0,0.9476791620254517,9.476791620254517,0.4767916202545166,0.4767916202545166
student_3,Q1,7.5,0.8924500942230225,8.924500942230225,1.4245009422302246,1.4245009422302246
student_3,Q2,9.0,0.9462260007858276,9.462260007858276,0.46226000785827637,0.46226000785827637
student_3,Q3,7.5,0.9649986028671265,9.649986028671265,2.1499860286712646,2.1499860286712646
student_3,Q4,8.0,0.920183002948761,9.20183002948761,1.2018300294876099,1.2018300294876099
student_4,Q1,7.5,0.9451610445976257,9.451610445976257,1.9516104459762573,1.9516104459762573
student_4,Q2,8.0,0.7098097801208496,7.098097801208496,0.9019021987915039,-0.9019021987915039
student_4,Q3,8.0,0.9589548110961914,9.589548110961914,1.589548110961914,1.589548110961914
student_4,Q4,8.5,0.932988166809082,9.32988166809082,0.8298816680908203,0.8298816680908203
student_5,Q1,7.5,0.9542794227600098,9.542794227600098,2.0427942276000977,2.0427942276000977
student_5,Q2,8.0,0.7793976068496704,7.793976068496704,0.2060239315032959,-0.2060239315032959
student_5,Q3,8.0,0.9478423595428467,9.478423595428467,1.4784235954284668,1.4784235954284668
student_5,Q4,9.0,0.8866730332374573,8.866730332374573,0.13326966762542725,-0.13326966762542725
student_6,Q1,0.0,0.27911674976348877,2.7911674976348877,2.7911674976348877,2.7911674976348877
student_6,Q2,0.0,0.28207480907440186,2.8207480907440186,2.8207480907440186,2.8207480907440186
student_6,Q3,0.0,0.23592552542686462,2.3592552542686462,2.3592552542686462,2.3592552542686462
student_6,Q4,0.0,0.3347330093383789,3.347330093383789,3.347330093383789,3.347330093383789
student_7,Q1,9.5,0.907454252243042,9.07454252243042,0.4254574775695801,-0.4254574775695801
student_7,Q2,9.0,0.8467741012573242,8.467741012573242,0.5322589874267578,-0.5322589874267578
student_7,Q3,9.0,0.8766346573829651,8.76634657382965,0.23365342617034912,-0.23365342617034912
student_7,Q4,9.5,0.8897711038589478,8.897711038589478,0.6022889614105225,-0.6022889614105225
